Tweet,Clean Tweet,Lower Tweet,Tokenize,Stemming,Stopwords,Filter By Length,Label
@anteraja_id @C_IndahJKT48 Dear Admin Anteraja https://t.co/VCqKR1uyfu,Dear Admin Anteraja,dear admin anteraja,"['dear', 'admin', 'anteraja']","dear,admin,anteraja","dear,admin,anteraja","dear,admin,anteraja",netral
@anteraja_id 10006938676847 next day kenapa malah lelet @anteraja_id,next day kenapa malah lelet,next day kenapa malah lelet,"['next', 'day', 'kenapa', 'malah', 'lelet']","next,day,kenapa,malah,lelet","next,day,kenapa,malah,lelet","next,kenapa,malah,lelet",negatif
"@anteraja_id BAIKNYA Ramadan 
#PastiBagiHadiah 
#BaiknyaRamadan
@azanyanasti 
@dewalova_ieiend 
@esaspears_",BAIKNYA Ramadan PastiBagiHadiah BaiknyaRamadan,baiknya ramadan pastibagihadiah baiknyaramadan,"['baiknya', 'ramadan', 'pastibagihadiah', 'baiknyaramadan']","baik,ramadan,pastibagihadiah,baiknyaramadan","baik,ramadan,pastibagihadiah,baiknyaramadan","baik,ramadan,pastibagihadiah,baiknyaramadan",netral
@anteraja_id #PastiLebihBaik,PastiLebihBaik,pastilebihbaik,['pastilebihbaik'],pastilebihbaik,pastilebihbaik,pastilebihbaik,netral
"@anteraja_id Definisi #BaiknyaRamadan versi wota adalah ketika menahan diri untuk tidak ikut dari segala tubiran di twitter. Ketika twit tubiran lewat di timeline, sebaiknya lanjut scroll agar tidak terpancing sehingga bisa mengurangi pahala puasa yang sedang dikerjakan.
#PastiBagiHadiah",Definisi BaiknyaRamadan versi wota adalah ketika menahan diri untuk tidak ikut dari segala tubiran di twitter Ketika twit tubiran lewat di timeline sebaiknya lanjut scroll agar tidak terpancing sehingga bisa mengurangi pahala puasa yang sedang dikerjakan PastiBagiHadiah,definisi baiknyaramadan versi wota adalah ketika menahan diri untuk tidak ikut dari segala tubiran di twitter ketika twit tubiran lewat di timeline sebaiknya lanjut scroll agar tidak terpancing sehingga bisa mengurangi pahala puasa yang sedang dikerjakan pastibagihadiah,"['definisi', 'baiknyaramadan', 'versi', 'wota', 'adalah', 'ketika', 'menahan', 'diri', 'untuk', 'tidak', 'ikut', 'dari', 'segala', 'tubiran', 'di', 'twitter', 'ketika', 'twit', 'tubiran', 'lewat', 'di', 'timeline', 'sebaiknya', 'lanjut', 'scroll', 'agar', 'tidak', 'terpancing', 'sehingga', 'bisa', 'mengurangi', 'pahala', 'puasa', 'yang', 'sedang', 'dikerjakan', 'pastibagihadiah']","definisi,baiknyaramadan,versi,wota,adalah,ketika,tahan,diri,untuk,tidak,ikut,dari,segala,tubir,di,twitter,ketika,twit,tubir,lewat,di,timeline,baik,lanjut,scroll,agar,tidak,pancing,sehingga,bisa,kurang,pahala,puasa,yang,sedang,kerja,pastibagihadiah","definisi,baiknyaramadan,versi,wota,adalah,ketika,tahan,diri,untuk,tidak,ikut,dari,segala,tubir,di,twitter,ketika,twit,tubir,lewat,di,timeline,baik,lanjut,scroll,agar,tidak,pancing,sehingga,bisa,kurang,pahala,puasa,yang,sedang,kerja,pastibagihadiah","definisi,baiknyaramadan,versi,wota,adalah,ketika,tahan,diri,untuk,tidak,ikut,dari,segala,tubir,twitter,ketika,twit,tubir,lewat,timeline,baik,lanjut,scroll,agar,tidak,pancing,sehingga,bisa,kurang,pahala,puasa,yang,sedang,kerja,pastibagihadiah",netral
Kapan paket sy di Anter nih min @anteraja_id 10006939398892 tinggal di bawa kurir aja ko lama bgt dr kmrn. Padahal barang cod loh ini,Kapan paket sy di Anter nih min tinggal di bawa kurir aja ko lama bgt dr kmrn Padahal barang cod loh ini,kapan paket sy di anter nih min tinggal di bawa kurir aja ko lama bgt dr kmrn padahal barang cod loh ini,"['kapan', 'paket', 'sy', 'di', 'anter', 'nih', 'min', 'tinggal', 'di', 'bawa', 'kurir', 'aja', 'ko', 'lama', 'bgt', 'dr', 'kmrn', 'padahal', 'barang', 'cod', 'loh', 'ini']","kapan,paket,sy,di,anter,nih,min,tinggal,di,bawa,kurir,aja,ko,lama,bgt,dr,kmrn,padahal,barang,cod,loh,ini","kapan,paket,sy,di,anter,nih,min,tinggal,di,bawa,kurir,aja,ko,lama,bgt,dr,kmrn,padahal,barang,cod,loh,ini","kapan,paket,anter,tinggal,bawa,kurir,lama,kmrn,padahal,barang",negatif
Ini lho leletnya kurir rekomendasimu @TokopediaCare . Besok2 buang @anteraja_id @AnterajaCare dari list kurir rekomendasi Tokped! Tiap dapet rekomendasi kurirnya Anteraja kok mesti bermasalah. Dari hari rabu kok status menuju ke hub terus. Hub opoo???? https://t.co/6bM1svfxBb,Ini lho leletnya kurir rekomendasimu Besok buang dari list kurir rekomendasi Tokped Tiap dapet rekomendasi kurirnya Anteraja kok mesti bermasalah Dari hari rabu kok status menuju ke hub terus Hub opoo,ini lho leletnya kurir rekomendasimu besok buang dari list kurir rekomendasi tokped tiap dapet rekomendasi kurirnya anteraja kok mesti bermasalah dari hari rabu kok status menuju ke hub terus hub opoo,"['ini', 'lho', 'leletnya', 'kurir', 'rekomendasimu', 'besok', 'buang', 'dari', 'list', 'kurir', 'rekomendasi', 'tokped', 'tiap', 'dapet', 'rekomendasi', 'kurirnya', 'anteraja', 'kok', 'mesti', 'bermasalah', 'dari', 'hari', 'rabu', 'kok', 'status', 'menuju', 'ke', 'hub', 'terus', 'hub', 'opoo']","ini,lho,lelet,kurir,rekomendasi,besok,buang,dari,list,kurir,rekomendasi,tokped,tiap,dapet,rekomendasi,kurir,anteraja,kok,mesti,masalah,dari,hari,rabu,kok,status,tuju,ke,hub,terus,hub,opoo","ini,lho,lelet,kurir,rekomendasi,besok,buang,dari,list,kurir,rekomendasi,tokped,tiap,dapet,rekomendasi,kurir,anteraja,kok,mesti,masalah,dari,hari,rabu,kok,status,tuju,ke,hub,terus,hub,opoo","lelet,kurir,rekomendasi,besok,buang,dari,list,kurir,rekomendasi,tokped,tiap,dapet,rekomendasi,kurir,anteraja,mesti,masalah,dari,hari,rabu,status,tuju,terus,opoo",negatif
"@aespacha Hi Kak, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk bisikin no resi kamu ke DM akun baru kami di spy privasimu terjaga Trims PI,hi kak jgn risau ya kendala paket kamu akan segera minaja bantu yuk bisikin no resi kamu ke dm akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'bisikin', 'no', 'resi', 'kamu', 'ke', 'dm', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,bisikin,no,resi,kamu,ke,dm,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,bisikin,no,resi,kamu,ke,dm,akun,baru,kami,di,spy,privasi,jaga,trims,pi","risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
GABERESSSS NI EKSPEDISI SATU!!!! @anteraja_id @AnterajaCare,GABERESSSS NI EKSPEDISI SATU,gaberessss ni ekspedisi satu,"['gaberessss', 'ni', 'ekspedisi', 'satu']","gaberessss,ni,ekspedisi,satu","gaberessss,ni,ekspedisi,satu","gaberessss,ekspedisi,satu",negatif
"@anteraja_id BAIKNYA RAMADAN

Yuk ikutan juga @Tineyalfarel @ilham2720 @cellku80 
#PastiBagiHadiah 
#BaiknyaRamadan",BAIKNYA RAMADAN Yuk ikutan juga PastiBagiHadiah BaiknyaRamadan,baiknya ramadan yuk ikutan juga pastibagihadiah baiknyaramadan,"['baiknya', 'ramadan', 'yuk', 'ikutan', 'juga', 'pastibagihadiah', 'baiknyaramadan']","baik,ramadan,yuk,ikut,juga,pastibagihadiah,baiknyaramadan","baik,ramadan,yuk,ikut,juga,pastibagihadiah,baiknyaramadan","baik,ramadan,ikut,juga,pastibagihadiah,baiknyaramadan",netral
@anteraja_id cek dm min,cek dm min,cek dm min,"['cek', 'dm', 'min']","cek,dm,min","cek,dm,min",,negatif
berantam aja kita 😡😡😡😡 @anteraja_id jdekhdjdj besok perpisahan pake apaaaaa huhuhu miiiin cepatkan dulu pengirimannyaaa 😭😭😭😭😭,berantam aja kita jdekhdjdj besok perpisahan pake apaaaaa huhuhu miiiin cepatkan dulu pengirimannyaaa,berantam aja kita jdekhdjdj besok perpisahan pake apaaaaa huhuhu miiiin cepatkan dulu pengirimannyaaa,"['berantam', 'aja', 'kita', 'jdekhdjdj', 'besok', 'perpisahan', 'pake', 'apaaaaa', 'huhuhu', 'miiiin', 'cepatkan', 'dulu', 'pengirimannyaaa']","rantam,aja,kita,jdekhdjdj,besok,pisah,pake,apaaaaa,huhuhu,miiiin,cepat,dulu,pengirimannyaaa","rantam,aja,kita,jdekhdjdj,besok,pisah,pake,apaaaaa,huhuhu,miiiin,cepat,dulu,pengirimannyaaa","rantam,kita,jdekhdjdj,besok,pisah,pake,apaaaaa,huhuhu,miiiin,cepat,dulu,pengirimannyaaa",negatif
"@anteraja_id min, gimana nih kurir nya salah kirim. Masak jauh banget kirimnya dari nomor 37 ke nomor 3 -___-",min gimana nih kurir nya salah kirim Masak jauh banget kirimnya dari nomor ke nomor,min gimana nih kurir nya salah kirim masak jauh banget kirimnya dari nomor ke nomor,"['min', 'gimana', 'nih', 'kurir', 'nya', 'salah', 'kirim', 'masak', 'jauh', 'banget', 'kirimnya', 'dari', 'nomor', 'ke', 'nomor']","min,gimana,nih,kurir,nya,salah,kirim,masak,jauh,banget,kirim,dari,nomor,ke,nomor","min,gimana,nih,kurir,nya,salah,kirim,masak,jauh,banget,kirim,dari,nomor,ke,nomor","gimana,kurir,salah,kirim,masak,jauh,banget,kirim,dari,nomor,nomor",negatif
anteraja kenapa lelet kali sih mau nangis @anteraja_id,anteraja kenapa lelet kali sih mau nangis,anteraja kenapa lelet kali sih mau nangis,"['anteraja', 'kenapa', 'lelet', 'kali', 'sih', 'mau', 'nangis']","anteraja,kenapa,lelet,kali,sih,mau,nang","anteraja,kenapa,lelet,kali,sih,mau,nang","anteraja,kenapa,lelet,kali,nang",negatif
@anteraja_id @AnterajaCare Sudah saya DM ke akun @AnterajaCare,Sudah saya DM ke akun,sudah saya dm ke akun,"['sudah', 'saya', 'dm', 'ke', 'akun']","sudah,saya,dm,ke,akun","sudah,saya,dm,ke,akun","sudah,saya,akun",negatif
"@zipoer76 Hi Hepizen, maaf ya bikin kakak ga nyaman. FYI, mulai tgl 20 Feb 2023 untuk layanan @anteraja_id beralih ke @AnterajaCare. Untuk itu kakak bisa DM akun AnterajaCare agar bisa langsung kami tindaklanjuti kendalanya ya kak. Happy Fasting #BaiknyaRamadan. Thx :) ^MDAS",Hi Hepizen maaf ya bikin kakak ga nyaman FYI mulai tgl Feb untuk layanan beralih ke Untuk itu kakak bisa DM akun AnterajaCare agar bisa langsung kami tindaklanjuti kendalanya ya kak Happy Fasting BaiknyaRamadan Thx MDAS,hi hepizen maaf ya bikin kakak ga nyaman fyi mulai tgl feb untuk layanan beralih ke untuk itu kakak bisa dm akun anterajacare agar bisa langsung kami tindaklanjuti kendalanya ya kak happy fasting baiknyaramadan thx mdas,"['hi', 'hepizen', 'maaf', 'ya', 'bikin', 'kakak', 'ga', 'nyaman', 'fyi', 'mulai', 'tgl', 'feb', 'untuk', 'layanan', 'beralih', 'ke', 'untuk', 'itu', 'kakak', 'bisa', 'dm', 'akun', 'anterajacare', 'agar', 'bisa', 'langsung', 'kami', 'tindaklanjuti', 'kendalanya', 'ya', 'kak', 'happy', 'fasting', 'baiknyaramadan', 'thx', 'mdas']","hi,hepizen,maaf,ya,bikin,kakak,ga,nyaman,fyi,mulai,tgl,feb,untuk,layan,alih,ke,untuk,itu,kakak,bisa,dm,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,ya,kak,happy,fasting,baiknyaramadan,thx,mdas","hi,hepizen,maaf,ya,bikin,kakak,ga,nyaman,fyi,mulai,tgl,feb,untuk,layan,alih,ke,untuk,itu,kakak,bisa,dm,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,ya,kak,happy,fasting,baiknyaramadan,thx,mdas","hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"@WenzSpy Hi Hepizen, maaf ya bikin kakak ga nyaman. FYI, mulai tgl 20 Feb 2023 untuk layanan @anteraja_id beralih ke @AnterajaCare. Untuk itu kakak bisa DM akun AnterajaCare agar bisa langsung kami tindaklanjuti kendalanya ya kak. Happy Fasting #BaiknyaRamadan. Thx :) ^MDAS",Hi Hepizen maaf ya bikin kakak ga nyaman FYI mulai tgl Feb untuk layanan beralih ke Untuk itu kakak bisa DM akun AnterajaCare agar bisa langsung kami tindaklanjuti kendalanya ya kak Happy Fasting BaiknyaRamadan Thx MDAS,hi hepizen maaf ya bikin kakak ga nyaman fyi mulai tgl feb untuk layanan beralih ke untuk itu kakak bisa dm akun anterajacare agar bisa langsung kami tindaklanjuti kendalanya ya kak happy fasting baiknyaramadan thx mdas,"['hi', 'hepizen', 'maaf', 'ya', 'bikin', 'kakak', 'ga', 'nyaman', 'fyi', 'mulai', 'tgl', 'feb', 'untuk', 'layanan', 'beralih', 'ke', 'untuk', 'itu', 'kakak', 'bisa', 'dm', 'akun', 'anterajacare', 'agar', 'bisa', 'langsung', 'kami', 'tindaklanjuti', 'kendalanya', 'ya', 'kak', 'happy', 'fasting', 'baiknyaramadan', 'thx', 'mdas']","hi,hepizen,maaf,ya,bikin,kakak,ga,nyaman,fyi,mulai,tgl,feb,untuk,layan,alih,ke,untuk,itu,kakak,bisa,dm,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,ya,kak,happy,fasting,baiknyaramadan,thx,mdas","hi,hepizen,maaf,ya,bikin,kakak,ga,nyaman,fyi,mulai,tgl,feb,untuk,layan,alih,ke,untuk,itu,kakak,bisa,dm,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,ya,kak,happy,fasting,baiknyaramadan,thx,mdas","hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"@tokopedia @TokopediaCare min, itu tolong fitur sameday dr @anteraja_id  dihapus lah, pake sameday @anteraja_id gk prnh tepat waktu, kurirnya suka bikin update palsu untuk mendelay pickup paket",min itu tolong fitur sameday dr dihapus lah pake sameday gk prnh tepat waktu kurirnya suka bikin update palsu untuk mendelay pickup paket,min itu tolong fitur sameday dr dihapus lah pake sameday gk prnh tepat waktu kurirnya suka bikin update palsu untuk mendelay pickup paket,"['min', 'itu', 'tolong', 'fitur', 'sameday', 'dr', 'dihapus', 'lah', 'pake', 'sameday', 'gk', 'prnh', 'tepat', 'waktu', 'kurirnya', 'suka', 'bikin', 'update', 'palsu', 'untuk', 'mendelay', 'pickup', 'paket']","min,itu,tolong,fitur,sameday,dr,hapus,lah,pake,sameday,gk,prnh,tepat,waktu,kurir,suka,bikin,update,palsu,untuk,mendelay,pickup,paket","min,itu,tolong,fitur,sameday,dr,hapus,lah,pake,sameday,gk,prnh,tepat,waktu,kurir,suka,bikin,update,palsu,untuk,mendelay,pickup,paket","tolong,fitur,sameday,hapus,pake,sameday,prnh,tepat,waktu,kurir,suka,bikin,update,palsu,untuk,mendelay,pickup,paket",negatif
@anteraja_id @AnterajaCare Sudah saya DM ya kak,Sudah saya DM ya kak,sudah saya dm ya kak,"['sudah', 'saya', 'dm', 'ya', 'kak']","sudah,saya,dm,ya,kak","sudah,saya,dm,ya,kak","sudah,saya",negatif
