Filter By Length,Label,Kata,TF-IDF
"halo,tolong,bantu,proses,paket,resi,status,gagal,kirim,kemarin,sampe,kirim,tolong,paket,kado,orgnya,pulang,malem,terima,kasih",negatif,"['halo', 'tolong', 'bantu', 'proses', 'paket', 'resi', 'status', 'gagal', 'kirim', 'kemarin', 'sampe', 'kirim', 'tolong', 'paket', 'kado', 'orgnya', 'pulang', 'malem', 'terima', 'kasih']","{'halo': 1, 'tolong': 2, 'bantu': 1, 'proses': 1, 'paket': 2, 'resi': 1, 'status': 1, 'gagal': 1, 'kirim': 2, 'kemarin': 1, 'sampe': 1, 'kado': 1, 'orgnya': 1, 'pulang': 1, 'malem': 1, 'terima': 1, 'kasih': 1}"
"banget,ngirimnya,bang",negatif,"['banget', 'ngirimnya', 'bang']","{'banget': 1, 'ngirimnya': 1, 'bang': 1}"
"paket,slalu,didiemin,gudang,anjing,kesel,ampe,pdhl,ekspedisi",negatif,"['paket', 'slalu', 'didiemin', 'gudang', 'anjing', 'kesel', 'ampe', 'pdhl', 'ekspedisi']","{'paket': 1, 'slalu': 1, 'didiemin': 1, 'gudang': 1, 'anjing': 1, 'kesel': 1, 'ampe': 1, 'pdhl': 1, 'ekspedisi': 1}"
"belanja,online,kirim,pake,sampe,tangerang,selatan,doang,meanwhile,paket,crossborder,kirim,udah,sampe,lucu",negatif,"['belanja', 'online', 'kirim', 'pake', 'sampe', 'tangerang', 'selatan', 'doang', 'meanwhile', 'paket', 'crossborder', 'kirim', 'udah', 'sampe', 'lucu']","{'belanja': 1, 'online': 1, 'kirim': 2, 'pake': 1, 'sampe': 2, 'tangerang': 1, 'selatan': 1, 'doang': 1, 'meanwhile': 1, 'paket': 1, 'crossborder': 1, 'udah': 1, 'lucu': 1}"
"oshi,mint",negatif,"['oshi', 'mint']","{'oshi': 1, 'mint': 1}"
"banyakin,sabar,bang,kalo,pake,ekspedisi,ngalamin,minggu,barang,datengdateng,pake,ekspedisi,saran,next,kalo,barang,pilih,ekspedisi,beres",negatif,"['banyakin', 'sabar', 'bang', 'kalo', 'pake', 'ekspedisi', 'ngalamin', 'minggu', 'barang', 'datengdateng', 'pake', 'ekspedisi', 'saran', 'next', 'kalo', 'barang', 'pilih', 'ekspedisi', 'beres']","{'banyakin': 1, 'sabar': 1, 'bang': 1, 'kalo': 2, 'pake': 2, 'ekspedisi': 3, 'ngalamin': 1, 'minggu': 1, 'barang': 2, 'datengdateng': 1, 'saran': 1, 'next': 1, 'pilih': 1, 'beres': 1}"
"paket,status,kemarin",negatif,"['paket', 'status', 'kemarin']","{'paket': 1, 'status': 1, 'kemarin': 1}"
"paket,stak,kemaren,gerak",negatif,"['paket', 'stak', 'kemaren', 'gerak']","{'paket': 1, 'stak': 1, 'kemaren': 1, 'gerak': 1}"
"admin,ulah,kerja",negatif,"['admin', 'ulah', 'kerja']","{'admin': 1, 'ulah': 1, 'kerja': 1}"
"belumdan,udah,dibatalin,platform,commercenya",negatif,"['belumdan', 'udah', 'dibatalin', 'platform', 'commercenya']","{'belumdan': 1, 'udah': 1, 'dibatalin': 1, 'platform': 1, 'commercenya': 1}"
"kali,kendala,helooo,adapa,yaaa,post,kecewa,asli",negatif,"['kali', 'kendala', 'helooo', 'adapa', 'yaaa', 'post', 'kecewa', 'asli']","{'kali': 1, 'kendala': 1, 'helooo': 1, 'adapa': 1, 'yaaa': 1, 'post': 1, 'kecewa': 1, 'asli': 1}"
"heran,brand",negatif,"['heran', 'brand']","{'heran': 1, 'brand': 1}"
"tolong,bantu,paket,resi,butuh,siang,paket,tangerang,kirim,bogor,tangerang",negatif,"['tolong', 'bantu', 'paket', 'resi', 'butuh', 'siang', 'paket', 'tangerang', 'kirim', 'bogor', 'tangerang']","{'tolong': 1, 'bantu': 1, 'paket': 2, 'resi': 1, 'butuh': 1, 'siang': 1, 'tangerang': 2, 'kirim': 1, 'bogor': 1}"
oshiku,negatif,['oshiku'],{'oshiku': 1}
cyurrrr,negatif,['cyurrrr'],{'cyurrrr': 1}
"capek,nunggu,paket,sortir,olshop,pake,jasa,skip,males,gitu,lamaaaaa,nyampe,muter,males,urus,ekspedisi,sampe,ambil,langsung,gudang",negatif,"['capek', 'nunggu', 'paket', 'sortir', 'olshop', 'pake', 'jasa', 'skip', 'males', 'gitu', 'lamaaaaa', 'nyampe', 'muter', 'males', 'urus', 'ekspedisi', 'sampe', 'ambil', 'langsung', 'gudang']","{'capek': 1, 'nunggu': 1, 'paket': 1, 'sortir': 1, 'olshop': 1, 'pake': 1, 'jasa': 1, 'skip': 1, 'males': 2, 'gitu': 1, 'lamaaaaa': 1, 'nyampe': 1, 'muter': 1, 'urus': 1, 'ekspedisi': 1, 'sampe': 1, 'ambil': 1, 'langsung': 1, 'gudang': 1}"
"paket,pick,tanggal",negatif,"['paket', 'pick', 'tanggal']","{'paket': 1, 'pick': 1, 'tanggal': 1}"
"tolong,tangan,datengnya,next,same",negatif,"['tolong', 'tangan', 'datengnya', 'next', 'same']","{'tolong': 1, 'tangan': 1, 'datengnya': 1, 'next': 1, 'same': 1}"
"awas,kalo,sampe,dipickup",negatif,"['awas', 'kalo', 'sampe', 'dipickup']","{'awas': 1, 'kalo': 1, 'sampe': 1, 'dipickup': 1}"
"ekspedisi,musibah",negatif,"['ekspedisi', 'musibah']","{'ekspedisi': 1, 'musibah': 1}"
"telpon,ketok,rumah,status,paket,tunda,terima,hubung,kntorrmah,tutup,smua,aktif,rumah,mnggu,satria,kbar",negatif,"['telpon', 'ketok', 'rumah', 'status', 'paket', 'tunda', 'terima', 'hubung', 'kntorrmah', 'tutup', 'smua', 'aktif', 'rumah', 'mnggu', 'satria', 'kbar']","{'telpon': 1, 'ketok': 1, 'rumah': 2, 'status': 1, 'paket': 1, 'tunda': 1, 'terima': 1, 'hubung': 1, 'kntorrmah': 1, 'tutup': 1, 'smua': 1, 'aktif': 1, 'mnggu': 1, 'satria': 1, 'kbar': 1}"
"chat,anjir",negatif,"['chat', 'anjir']","{'chat': 1, 'anjir': 1}"
"anteraja,lelet,kali,nang",negatif,"['anteraja', 'lelet', 'kali', 'nang']","{'anteraja': 1, 'lelet': 1, 'kali': 1, 'nang': 1}"
"emang,kasih,status",negatif,"['emang', 'kasih', 'status']","{'emang': 1, 'kasih': 1, 'status': 1}"
"giveaway,mulu,paket,ndak,diurusin,udah,alas,toko,tutup,nomor,aktif,asli,basi,banget,sameday,nyampe",negatif,"['giveaway', 'mulu', 'paket', 'ndak', 'diurusin', 'udah', 'alas', 'toko', 'tutup', 'nomor', 'aktif', 'asli', 'basi', 'banget', 'sameday', 'nyampe']","{'giveaway': 1, 'mulu': 1, 'paket': 1, 'ndak': 1, 'diurusin': 1, 'udah': 1, 'alas': 1, 'toko': 1, 'tutup': 1, 'nomor': 1, 'aktif': 1, 'asli': 1, 'basi': 1, 'banget': 1, 'sameday': 1, 'nyampe': 1}"
"tegur,seller,beli,barang,anteraja,mangkir,sameday,orang,pilih,sameday",negatif,"['tegur', 'seller', 'beli', 'barang', 'anteraja', 'mangkir', 'sameday', 'orang', 'pilih', 'sameday']","{'tegur': 1, 'seller': 1, 'beli': 1, 'barang': 1, 'anteraja': 1, 'mangkir': 1, 'sameday': 2, 'orang': 1, 'pilih': 1}"
"karyawan,didik,kalo,ngga,sanggup,menuhin,layan,ngibul,biar,kesan,menuhin,target",negatif,"['karyawan', 'didik', 'kalo', 'ngga', 'sanggup', 'menuhin', 'layan', 'ngibul', 'biar', 'kesan', 'menuhin', 'target']","{'karyawan': 1, 'didik': 1, 'kalo': 1, 'ngga': 1, 'sanggup': 1, 'menuhin': 2, 'layan': 1, 'ngibul': 1, 'biar': 1, 'kesan': 1, 'target': 1}"
"gimana,pickup,barang",negatif,"['gimana', 'pickup', 'barang']","{'gimana': 1, 'pickup': 1, 'barang': 1}"
"hadehh,liat,futu,oshiku,sulit,udah,benerin,indah,baiknyaramadan",negatif,"['hadehh', 'liat', 'futu', 'oshiku', 'sulit', 'udah', 'benerin', 'indah', 'baiknyaramadan']","{'hadehh': 1, 'liat': 1, 'futu': 1, 'oshiku': 1, 'sulit': 1, 'udah': 1, 'benerin': 1, 'indah': 1, 'baiknyaramadan': 1}"
"paket,lokasi,sortir,maret,update,gimana",negatif,"['paket', 'lokasi', 'sortir', 'maret', 'update', 'gimana']","{'paket': 1, 'lokasi': 1, 'sortir': 1, 'maret': 1, 'update': 1, 'gimana': 1}"
"paket,minggu,sampe,udah,lapor,suruh,nunggu,sampe",negatif,"['paket', 'minggu', 'sampe', 'udah', 'lapor', 'suruh', 'nunggu', 'sampe']","{'paket': 1, 'minggu': 1, 'sampe': 2, 'udah': 1, 'lapor': 1, 'suruh': 1, 'nunggu': 1}"
"payah,paket,kirim,tunda,operasional,butuh,barang,dipake,cepat",negatif,"['payah', 'paket', 'kirim', 'tunda', 'operasional', 'butuh', 'barang', 'dipake', 'cepat']","{'payah': 1, 'paket': 1, 'kirim': 1, 'tunda': 1, 'operasional': 1, 'butuh': 1, 'barang': 1, 'dipake': 1, 'cepat': 1}"
akun,negatif,['akun'],{'akun': 1}
"kirim,barang,pake,ekspedisi,anter,tahan,anter,entar",negatif,"['kirim', 'barang', 'pake', 'ekspedisi', 'anter', 'tahan', 'anter', 'entar']","{'kirim': 1, 'barang': 1, 'pake': 1, 'ekspedisi': 1, 'anter': 2, 'tahan': 1, 'entar': 1}"
"hallo,tlng,baca",negatif,"['hallo', 'tlng', 'baca']","{'hallo': 1, 'tlng': 1, 'baca': 1}"
"kalo,pake,kurir",negatif,"['kalo', 'pake', 'kurir']","{'kalo': 1, 'pake': 1, 'kurir': 1}"
"halo,pickup,paket,udah,estimasi",negatif,"['halo', 'pickup', 'paket', 'udah', 'estimasi']","{'halo': 1, 'pickup': 1, 'paket': 1, 'udah': 1, 'estimasi': 1}"
"cakep,banget,masyaallah",negatif,"['cakep', 'banget', 'masyaallah']","{'cakep': 1, 'banget': 1, 'masyaallah': 1}"
"fuck,your,customer,service,kagak,bales,whatsapp,ngga,respon,nomor,telepon,ngga,aktiffff,tutup,usaha",negatif,"['fuck', 'your', 'customer', 'service', 'kagak', 'bales', 'whatsapp', 'ngga', 'respon', 'nomor', 'telepon', 'ngga', 'aktiffff', 'tutup', 'usaha']","{'fuck': 1, 'your': 1, 'customer': 1, 'service': 1, 'kagak': 1, 'bales': 1, 'whatsapp': 1, 'ngga': 2, 'respon': 1, 'nomor': 1, 'telepon': 1, 'aktiffff': 1, 'tutup': 1, 'usaha': 1}"
"tolong,paket,kirim,ngapain,nangkring,jakut",negatif,"['tolong', 'paket', 'kirim', 'ngapain', 'nangkring', 'jakut']","{'tolong': 1, 'paket': 1, 'kirim': 1, 'ngapain': 1, 'nangkring': 1, 'jakut': 1}"
"takut,banget",negatif,"['takut', 'banget']","{'takut': 1, 'banget': 1}"
"mohon,maap,maksud,paket,estimasi,kirim",negatif,"['mohon', 'maap', 'maksud', 'paket', 'estimasi', 'kirim']","{'mohon': 1, 'maap': 1, 'maksud': 1, 'paket': 1, 'estimasi': 1, 'kirim': 1}"
"blangsak,emang,bang",negatif,"['blangsak', 'emang', 'bang']","{'blangsak': 1, 'emang': 1, 'bang': 1}"
paket,negatif,['paket'],{'paket': 1}
"pake,ekspedisi,udah,jual,pake,ekspedisi,jual,bilang,otomatis,shopee,ngatur,males,lanja,shopee,kalo,ketemu,ekspedisi,lelet",negatif,"['pake', 'ekspedisi', 'udah', 'jual', 'pake', 'ekspedisi', 'jual', 'bilang', 'otomatis', 'shopee', 'ngatur', 'males', 'lanja', 'shopee', 'kalo', 'ketemu', 'ekspedisi', 'lelet']","{'pake': 2, 'ekspedisi': 3, 'udah': 1, 'jual': 2, 'bilang': 1, 'otomatis': 1, 'shopee': 2, 'ngatur': 1, 'males': 1, 'lanja': 1, 'kalo': 1, 'ketemu': 1, 'lelet': 1}"
"pingin,marah,puasa",negatif,"['pingin', 'marah', 'puasa']","{'pingin': 1, 'marah': 1, 'puasa': 1}"
"gimana,kurir,salah,kirim,masak,banget,kirim,nomor,nomor",negatif,"['gimana', 'kurir', 'salah', 'kirim', 'masak', 'banget', 'kirim', 'nomor', 'nomor']","{'gimana': 1, 'kurir': 1, 'salah': 1, 'kirim': 2, 'masak': 1, 'banget': 1, 'nomor': 2}"
"kirim,pake,next,udah,sampe,kompensasi,ngga,bayar,nextday,dapetnya,reguler",negatif,"['kirim', 'pake', 'next', 'udah', 'sampe', 'kompensasi', 'ngga', 'bayar', 'nextday', 'dapetnya', 'reguler']","{'kirim': 1, 'pake': 1, 'next': 1, 'udah': 1, 'sampe': 1, 'kompensasi': 1, 'ngga': 1, 'bayar': 1, 'nextday': 1, 'dapetnya': 1, 'reguler': 1}"
"paket,gagal,retur,kirim,paket,gagal,terima,barang,rumah",negatif,"['paket', 'gagal', 'retur', 'kirim', 'paket', 'gagal', 'terima', 'barang', 'rumah']","{'paket': 2, 'gagal': 2, 'retur': 1, 'kirim': 1, 'terima': 1, 'barang': 1, 'rumah': 1}"
"aplikasi,error",negatif,"['aplikasi', 'error']","{'aplikasi': 1, 'error': 1}"
"barusan,nyetir,jalan,kendara,ngeselin,auto,kasar,maap,bawa,marah",negatif,"['barusan', 'nyetir', 'jalan', 'kendara', 'ngeselin', 'auto', 'kasar', 'maap', 'bawa', 'marah']","{'barusan': 1, 'nyetir': 1, 'jalan': 1, 'kendara': 1, 'ngeselin': 1, 'auto': 1, 'kasar': 1, 'maap': 1, 'bawa': 1, 'marah': 1}"
"susah,orang,puasa",negatif,"['susah', 'orang', 'puasa']","{'susah': 1, 'orang': 1, 'puasa': 1}"
"halo,gimana,casenya,pilih,kirim,sameday,nyata,samedaynya,anteraja,fikir,grabgojek,paket,terima,udah,selesai,ckckckc,janganpilihanteraja,boikotanteraja",negatif,"['halo', 'gimana', 'casenya', 'pilih', 'kirim', 'sameday', 'nyata', 'samedaynya', 'anteraja', 'fikir', 'grabgojek', 'paket', 'terima', 'udah', 'selesai', 'ckckckc', 'janganpilihanteraja', 'boikotanteraja']","{'halo': 1, 'gimana': 1, 'casenya': 1, 'pilih': 1, 'kirim': 1, 'sameday': 1, 'nyata': 1, 'samedaynya': 1, 'anteraja': 1, 'fikir': 1, 'grabgojek': 1, 'paket': 1, 'terima': 1, 'udah': 1, 'selesai': 1, 'ckckckc': 1, 'janganpilihanteraja': 1, 'boikotanteraja': 1}"
"nemu,search,paket,kakak,kabar,paket,kayak",negatif,"['nemu', 'search', 'paket', 'kakak', 'kabar', 'paket', 'kayak']","{'nemu': 1, 'search': 1, 'paket': 2, 'kakak': 1, 'kabar': 1, 'kayak': 1}"
"tolong,shopee,otomatis,males,sameday,anter,expedisi,sameday,biar,gojekgrab,bagus,anteraja,pake",negatif,"['tolong', 'shopee', 'otomatis', 'males', 'sameday', 'anter', 'expedisi', 'sameday', 'biar', 'gojekgrab', 'bagus', 'anteraja', 'pake']","{'tolong': 1, 'shopee': 1, 'otomatis': 1, 'males': 1, 'sameday': 2, 'anter': 1, 'expedisi': 1, 'biar': 1, 'gojekgrab': 1, 'bagus': 1, 'anteraja': 1, 'pake': 1}"
sameday,negatif,['sameday'],{'sameday': 1}
takuttttt,negatif,['takuttttt'],{'takuttttt': 1}
"paket,gerak,puasa,pusat,sortir,please,kalo,lupa,klik,ganti,anter,kalo,belanja",negatif,"['paket', 'gerak', 'puasa', 'pusat', 'sortir', 'please', 'kalo', 'lupa', 'klik', 'ganti', 'anter', 'kalo', 'belanja']","{'paket': 1, 'gerak': 1, 'puasa': 1, 'pusat': 1, 'sortir': 1, 'please': 1, 'kalo': 2, 'lupa': 1, 'klik': 1, 'ganti': 1, 'anter': 1, 'belanja': 1}"
"ampun,muter",negatif,"['ampun', 'muter']","{'ampun': 1, 'muter': 1}"
"tolong,respon",negatif,"['tolong', 'respon']","{'tolong': 1, 'respon': 1}"
"nonaktif,tanggal,pickup,sampe,jatuh,tempo,tanggal,dipickup,udah,gada,komunikasi,tbtb,jadwal,ulang",negatif,"['nonaktif', 'tanggal', 'pickup', 'sampe', 'jatuh', 'tempo', 'tanggal', 'dipickup', 'udah', 'gada', 'komunikasi', 'tbtb', 'jadwal', 'ulang']","{'nonaktif': 1, 'tanggal': 2, 'pickup': 1, 'sampe': 1, 'jatuh': 1, 'tempo': 1, 'dipickup': 1, 'udah': 1, 'gada': 1, 'komunikasi': 1, 'tbtb': 1, 'jadwal': 1, 'ulang': 1}"
"gimana,paket,pickup,pickup,kendala",negatif,"['gimana', 'paket', 'pickup', 'pickup', 'kendala']","{'gimana': 1, 'paket': 1, 'pickup': 2, 'kendala': 1}"
"lelet,kurir,rekomendasi,besok,buang,list,kurir,rekomendasi,tokped,dapet,rekomendasi,kurir,anteraja,mesti,rabu,status,tuju,opoo",negatif,"['lelet', 'kurir', 'rekomendasi', 'besok', 'buang', 'list', 'kurir', 'rekomendasi', 'tokped', 'dapet', 'rekomendasi', 'kurir', 'anteraja', 'mesti', 'rabu', 'status', 'tuju', 'opoo']","{'lelet': 1, 'kurir': 3, 'rekomendasi': 3, 'besok': 1, 'buang': 1, 'list': 1, 'tokped': 1, 'dapet': 1, 'anteraja': 1, 'mesti': 1, 'rabu': 1, 'status': 1, 'tuju': 1, 'opoo': 1}"
"rabu,pagi,pondok,bambu,tidakbelum,amanahprofesional,alami,buruk,anteraja,barang,hilang,tukar,salah,alamat",negatif,"['rabu', 'pagi', 'pondok', 'bambu', 'tidakbelum', 'amanahprofesional', 'alami', 'buruk', 'anteraja', 'barang', 'hilang', 'tukar', 'salah', 'alamat']","{'rabu': 1, 'pagi': 1, 'pondok': 1, 'bambu': 1, 'tidakbelum': 1, 'amanahprofesional': 1, 'alami': 1, 'buruk': 1, 'anteraja': 1, 'barang': 1, 'hilang': 1, 'tukar': 1, 'salah': 1, 'alamat': 1}"
"paket,anteraja,macet,berharihari,kalo,mampir,jakarta,utara",negatif,"['paket', 'anteraja', 'macet', 'berharihari', 'kalo', 'mampir', 'jakarta', 'utara']","{'paket': 1, 'anteraja': 1, 'macet': 1, 'berharihari': 1, 'kalo': 1, 'mampir': 1, 'jakarta': 1, 'utara': 1}"
"ekspedisi,hilang,dokumen,ckckckck,gaada,tanggungjawabnya",negatif,"['ekspedisi', 'hilang', 'dokumen', 'ckckckck', 'gaada', 'tanggungjawabnya']","{'ekspedisi': 1, 'hilang': 1, 'dokumen': 1, 'ckckckck': 1, 'gaada': 1, 'tanggungjawabnya': 1}"
sampe,negatif,['sampe'],{'sampe': 1}
"paket,woiudah,jakut,mulukasih,telat,kasih,solusi,investigasi,blamuak,banget,sumpah",negatif,"['paket', 'woiudah', 'jakut', 'mulukasih', 'telat', 'kasih', 'solusi', 'investigasi', 'blamuak', 'banget', 'sumpah']","{'paket': 1, 'woiudah': 1, 'jakut': 1, 'mulukasih': 1, 'telat': 1, 'kasih': 1, 'solusi': 1, 'investigasi': 1, 'blamuak': 1, 'banget': 1, 'sumpah': 1}"
"kindly,check,your",negatif,"['kindly', 'check', 'your']","{'kindly': 1, 'check': 1, 'your': 1}"
"innovative,tiru,kurir,jual,beli,kota,kirim,jakarta,kirim,kota,mantap,moga,sukses,selaluuuu",negatif,"['innovative', 'tiru', 'kurir', 'jual', 'beli', 'kota', 'kirim', 'jakarta', 'kirim', 'kota', 'mantap', 'moga', 'sukses', 'selaluuuu']","{'innovative': 1, 'tiru': 1, 'kurir': 1, 'jual': 1, 'beli': 1, 'kota': 2, 'kirim': 2, 'jakarta': 1, 'mantap': 1, 'moga': 1, 'sukses': 1, 'selaluuuu': 1}"
"paket,manaaaaaaa",negatif,"['paket', 'manaaaaaaa']","{'paket': 1, 'manaaaaaaa': 1}"
